full_name,first_name,second_name,now_cost,team,element_type,total_points,pos,team_name,GF,GA,is_available,y_pred,y_pred_delta_1,y_pred_delta_2,y_pred_delta_3,y_pred_delta_4,y_pred_delta_5,y_pred_delta_6,y_pred_delta_7,y_pred_delta_8,y_pred_delta_9,y_pred_delta_10,y_pred_delta_11,y_pred_delta_12,y_pred_delta_13,y_pred_delta_14,y_pred_delta_15,y_pred_delta_16,y_pred_delta_17,y_pred_delta_18,picked_by,pick
Milan_van_Ewijk,Milan,van Ewijk,40,7,2,0,DEF,Coventry City,0,0,True,24.857869878812323,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
Jay_Dasilva,Jay,Dasilva,40,7,2,0,DEF,Coventry City,0,0,True,24.857869878812323,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
Adam_Aznou,Adam,Aznou,40,9,2,0,DEF,Everton,0,0,True,24.857869878812323,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
Luke_Woolfenden,Luke,Woolfenden,40,7,2,0,DEF,Coventry City,0,0,True,24.857869878812323,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
Joel_Latibeaudiere,Joel,Latibeaudiere,40,7,2,0,DEF,Coventry City,0,0,True,24.857869878812323,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
Aurele_Amenda,Aurèle,Amenda,40,7,2,0,DEF,Coventry City,0,0,True,24.857869878812323,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
Miguel_Brau,Miguel,Brau,40,7,2,0,DEF,Coventry City,0,0,True,24.857869878812323,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
Giovanni_Leoni,Giovanni,Leoni,40,14,2,0,DEF,Liverpool,0,0,True,24.857869878812323,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
Wellity_Lucky,Wellity,Lucky,40,14,2,0,DEF,Liverpool,0,0,True,24.857869878812323,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
Darnell_Furlong,Darnell,Furlong,40,12,2,0,DEF,Ipswich Town,0,0,True,24.857869878812323,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
Lewie_Coyle,Lewie,Coyle,40,11,2,0,DEF,Hull City,0,0,True,24.857869878812323,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
Cody_Drameh,Cody,Drameh,40,11,2,0,DEF,Hull City,0,0,True,24.857869878812323,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
Ryan_Giles,Ryan,Giles,40,11,2,0,DEF,Hull City,0,0,True,24.857869878812323,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
Matty_Jacob,Matty,Jacob,40,11,2,0,DEF,Hull City,0,0,True,24.857869878812323,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
Cathal_McCarthy,Cathal,McCarthy,40,11,2,0,DEF,Hull City,0,0,True,24.857869878812323,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
Paddy_McNair,Paddy,McNair,40,11,2,0,DEF,Hull City,0,0,True,24.857869878812323,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
Matt_Targett,Matt,Targett,40,11,2,0,DEF,Hull City,0,0,True,24.857869878812323,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
Issa_Diop,Issa,Diop,40,12,2,31,DEF,Ipswich Town,0,0,True,24.857869878812323,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
Cedric_Kipre,Cédric,Kipré,40,12,2,0,DEF,Ipswich Town,0,0,True,24.857869878812323,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
Dara_O'Shea,Dara,O'Shea,40,12,2,0,DEF,Ipswich Town,0,0,True,24.857869878812323,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
Leif_Davis,Leif,Davis,40,12,2,0,DEF,Ipswich Town,0,0,True,24.857869878812323,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
Jacob_Greaves,Jacob,Greaves,40,12,2,0,DEF,Ipswich Town,0,0,True,24.857869878812323,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
Ben_Johnson,Ben,Johnson,40,12,2,0,DEF,Ipswich Town,0,0,True,24.857869878812323,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
Charlie_Hughes,Charlie,Hughes,40,11,2,0,DEF,Hull City,0,0,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
Semi_Ajayi,Semi,Ajayi,40,11,2,0,DEF,Hull City,0,0,True,24.857869878812323,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
Tyler_Fredricson,Tyler,Fredricson,40,16,2,1,DEF,Man Utd,0,0,True,24.857869878812323,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
Calvin_Ramsay,Calvin,Ramsay,40,14,2,0,DEF,Liverpool,0,0,True,24.857869878812323,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
